Strategy,Sharpe Ratio,Annualised Return,Annualised Vol,Max Drawdown,Calmar Ratio,Total Return
Adaptive (Fixed),1.3293,0.2802,0.2108,-0.142,1.9728,0.2752
Adaptive (Fixed+Stop),3.6506,0.3568,0.0977,-0.0535,6.6695,0.3503
Static-Fusion,0.3715,0.0807,0.2173,-0.1952,0.4134,0.0794
Price-Only,0.9282,0.1988,0.2142,-0.1952,1.0185,0.1953
Equal-Weight,1.1181,0.2176,0.1946,-0.1844,1.18,0.2147
SPY Buy-and-Hold,0.7481,0.1484,0.1984,-0.1876,0.7913,0.1454
