Strategy,Sharpe (point),Sharpe 2.5%,Sharpe 97.5%,CAGR 2.5%,CAGR 97.5%,MaxDD 2.5%,MaxDD 97.5%
Adaptive (Fixed),1.3947,-0.3380465826744468,4.256474161837496,-0.07095331613951714,0.7956673058901741,-0.23453561894703556,-0.06054396671410293
Adaptive (Fixed+Stop),2.5084,0.037861068710996565,5.647556229247053,0.003936290734676079,0.6411940322923937,-0.12899296448859165,-0.03484332367736242
Static-Fusion,0.2815,-1.2186849981665864,3.022726742785745,-0.29834302106458377,0.5660321281711609,-0.38450360250733123,-0.07057719474666485
Price-Only,0.9282,-0.9603951320025755,4.447399908487537,-0.24736173364233666,0.7784103913078145,-0.3591541013451395,-0.06876683013025378
Equal-Weight,1.1181,-0.6613557493890262,4.011466612586395,-0.1423468542437567,0.6389263401342961,-0.2667858353907417,-0.05240307041694809
SPY Buy-and-Hold,0.7481,-0.7926509859230481,3.3621273905960725,-0.16530202110007602,0.5446662522182675,-0.2841350365788285,-0.05196887087501695
