Strategy,Final Value,Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Win Rate (%)
S&P 500 Buy-and-Hold,10768.62801553715,7.686280155371496,2.401979621737053,3.0782943081437377,2.9792535494217987,0.0
Equal-Weight Portfolio,11200.08372351196,12.000837235119597,3.432117780095721,5.045745728939945,3.5336053401773913,62.68656716417911
Traditional Markowitz,10710.126091003418,7.1012609100341795,1.8817417631338427,2.587494363757216,3.227416163825128,53.73134328358209
LSTM + Markowitz,11525.337951660156,15.253379516601562,3.34377726795981,5.509393231634383,4.64381500452601,59.70149253731343
