Strategy,Sharpe (point),Sharpe 2.5%,Sharpe 97.5%,CAGR 2.5%,CAGR 97.5%,MaxDD 2.5%,MaxDD 97.5%
Adaptive (WF),1.3947,-0.3380403238166824,4.25648058412055,-0.07095241559045004,0.7956705206447631,-0.2345355490501664,-0.060543680225798854
Adaptive (Fixed),1.3947,-0.34918258127066243,4.314865188719202,-0.07008790410366018,0.7953594299823206,-0.22652143769257138,-0.06320533714352154
Static-Fusion,0.2815,-1.21868564338919,3.022724713990722,-0.29834319306374424,0.5660327332072125,-0.3845036055177046,-0.07057721420042179
Price-Only,0.9282,-0.960397131460289,4.447400187642242,-0.2473615131142128,0.7784097157884394,-0.3591541381114055,-0.06876682453162415
Equal-Weight,1.1181,-0.6613562872329461,4.011467807134946,-0.1423468334435553,0.638926490512481,-0.2667858201544183,-0.05240303966908852
SPY Buy-and-Hold,0.7481,-0.7926550457293886,3.3621217893423108,-0.16530182171798782,0.5446664188087138,-0.2841354045706177,-0.05196868788749258
