Stock,Shares,Price,Value,Allocation (%)
META,1,637.7100219726562,637.7100219726562,5.533113429275173
UNH,4,333.7900085449219,1335.1600341796875,11.584562984440431
PFE,116,24.65999984741211,2860.5599822998047,24.819749271540953
LLY,3,896.530029296875,2689.590087890625,23.33632297093037
NKE,33,62.650001525878906,2067.450050354004,17.938303059097716
CASH,1,1934.867774963379,1934.867774963379,16.787948284715355
